Old Key,New Key,Value,Suggested Key,Suggested Key Value
dmp.steps.storage.label,dmp.steps.storage.label,Storage and Backup,,Storage and Backup
dmp.steps.storage.greeting,MISSING_IN_NEW_JSON,"Step 5, Let’s elaborate on your storage, Firstname",,
dmp.steps.storage.summaryLine,MISSING_IN_NEW_JSON,Define who can access and modify your data and describe your storage and backup strategies.,,
dmp.steps.storage.instructions,dmp.steps.storage.instructions,This step helps you 1) document who is allowed to see or edit your data in the project phase and 2) find appropriate storage and backup solutions for your data.,,This step helps you 1) document who is allowed to see or edit your data in the project phase and 2) find appropriate storage and backup solutions for your data.
dmp.steps.storage.intro,dmp.steps.storage.intro,Choose the best storage option for each dataset:,,Choose the best storage option for each dataset:
dmp.steps.storage.link,dmp.steps.storage.link,More information...,,More information...
dmp.steps.storage.question.datasets,dmp.steps.storage.question.datasets,Select corresponding datasets,,Select corresponding datasets
dmp.steps.storage.remove,dmp.steps.storage.remove,Remove storage,,Remove storage
dmp.steps.storage.external.add,dmp.steps.storage.external.add,Add other storage location,,Add other storage location
dmp.steps.storage.external.remove,dmp.steps.storage.external.remove,Remove external storage,,Remove external storage
dmp.steps.storage.external.question.isManagedInternally,dmp.steps.storage.external.question.isManagedInternally,Is this storage provided by a department or service unit of your institution?,,Is this storage provided by a department or service unit of your institution?
dmp.steps.storage.external.question.name,dmp.steps.storage.external.question.name,Storage Name,,Storage Name
dmp.steps.storage.external.question.location,dmp.steps.storage.external.question.location,Storage Location,,Storage Location(3)
dmp.steps.storage.external.question.backup.location,dmp.steps.storage.external.question.backup.location,Backup Location,,Backup Location(3)
dmp.steps.storage.external.question.backup.frequency,dmp.steps.storage.external.question.backup.frequency,Backup Frequency,,Backup Frequency(3)
dmp.steps.storage.external.question.info,MISSING_IN_NEW_JSON,Please explain why institutional storage will not be used,,
dmp.steps.legal.label,dmp.steps.legal.label,Legal and ethical aspects,,Legal and ethical aspects(2)
dmp.steps.legal.greeting,MISSING_IN_NEW_JSON,"On to Step 6, you’re halfway there, Firstname!",,
dmp.steps.legal.summaryLine,MISSING_IN_NEW_JSON,Address important legal and ethical dimensions of your project.,,
dmp.steps.legal.instructions,dmp.steps.legal.instructions,"This step helps you consider potential issues concerning personal data, intellectual property rights, and ownership and asks you for basic information on the handling of ethical issues within this project.",,"This step helps you consider potential issues concerning personal data, intellectual property rights, and ownership and asks you for basic information on the handling of ethical issues within this project."
dmp.steps.legal.intro,MISSING_IN_NEW_JSON,"This step helps you consider potential issues concerning personal data, intellectual property rights and ownership and asks you for basic information on the handling of ethical issues within this project.",,
dmp.steps.legal.heading,dmp.steps.legal.view.button.legal,Legal aspects,,Legal aspects
dmp.steps.legal.question.sensitiveData.prefix,dmp.steps.legal.question.sensitiveData.prefix,"Is your data or part of it sensitive, for example",,"Is your data or part of it sensitive, for example"
dmp.steps.legal.question.sensitiveData.link,dmp.steps.legal.question.sensitiveData.link,sensitive personal data,,sensitive personal data
dmp.steps.legal.question.sensitiveData.suffix,dmp.steps.legal.question.sensitiveData.suffix,", politically sensitive information, or trade secrets?",,", politically sensitive information, or trade secrets?"
dmp.steps.legal.question.dataset.sensitiveData,dmp.steps.legal.question.dataset.sensitiveData,Please select the datasets containing sensitive data,,Please select the datasets containing sensitive data
dmp.steps.legal.question.dataset.personalData,dmp.steps.legal.question.dataset.personalData,Please select the datasets containing personal data,,Please select the datasets containing personal data
dmp.steps.legal.question.dataset.legalRestrictions,dmp.steps.legal.question.dataset.legalRestrictions,Please select the datasets concerned:,,Please select the datasets concerned:
dmp.steps.legal.question.personalData,dmp.steps.legal.question.personalData,Will personal data be collected/used as part of the project?,,Will personal data be collected/used as part of the project?
dmp.steps.legal.question.sensitiveDataSecurity,dmp.steps.legal.question.sensitiveDataSecurity,What kind of additional security measures will be taken to ensure that stored and transferred sensitive data is safe?,,What kind of additional security measures will be taken to ensure that stored and transferred sensitive data is safe?
dmp.steps.legal.question.otherDataSecurityMeasures,COULD_NOT_BE_AUTO_REPLACE,Please specify what other measures are taken:,dmp.steps.documentation.question.long.otherDataQuality,Please specify what other measures are taken:
dmp.steps.legal.question.sensitiveDataAccess,dmp.steps.legal.question.long.sensitiveDataAccess,Who will be authorised to access sensitive data?,,Who will be authorised to access sensitive data?
dmp.steps.legal.question.personalDataCompliance,dmp.steps.legal.question.personalDataCompliance,How will compliance with data protection be ensured?,,How will compliance with data protection be ensured?
dmp.steps.legal.question.otherPersonalDataCompliance,COULD_NOT_BE_AUTO_REPLACE,Please specify what other measures are taken:,dmp.steps.documentation.question.long.otherDataQuality,Please specify what other measures are taken:
dmp.steps.legal.question.legalRestrictions,dmp.steps.legal.question.legalRestrictions,Are there any other legal restrictions on how data is processed or shared?,,Are there any other legal restrictions on how data is processed or shared?
dmp.steps.legal.question.legalRestrictionsComment,dmp.steps.legal.question.long.legalRestrictionsComment,Please specify the legal restrictions:,,Please specify the legal restrictions:
dmp.steps.legal.question.legalRestrictionsDocuments,dmp.steps.legal.question.legalRestrictionsDocuments,In which document(s) are these restrictions specified?,,In which document(s) are these restrictions specified?
dmp.steps.legal.question.otherLegalRestrictionsDocuments,dmp.steps.legal.question.long.otherLegalRestrictionsDocuments,Please specify the other documents:,,Please specify the other documents:
dmp.steps.legal.question.dataRightsAndAccessControl,MISSING_IN_NEW_JSON,List who will have the rights to control access over which dataset(s).,,
dmp.steps.legal.link.sensitiveData,dmp.steps.legal.link.sensitiveData,https://ec.europa.eu/info/law/law-topic/data-protection/reform/rules-business-and-organisations/legal-grounds-processing-data/sensitive-data/what-personal-data-considered-sensitive_en,,https://ec.europa.eu/info/law/law-topic/data-protection/reform/rules-business-and-organisations/legal-grounds-processing-data/sensitive-data/what-personal-data-considered-sensitive_en
dmp.steps.ethical.heading,dmp.steps.legal.view.button.ethical,Ethical aspects,,Ethical aspects
dmp.steps.ethical.question.humanParticipants,dmp.steps.legal.question.humanParticipants,Will you involve human participants in the project and thereby collect or process their personal data?,,Will you involve human participants in the project and thereby collect or process their personal data?
dmp.steps.ethical.question.ethicalIssues,dmp.steps.legal.question.ethicalIssues,"Beyond the use of personal data, are there any other ethical issues associated with your research?",,"Beyond the use of personal data, are there any other ethical issues associated with your research?"
dmp.steps.ethical.question.committeeReviewed.prefix,dmp.steps.legal.question.committeeReviewed.prefix,"Was your research plan reviewed by an ethics committee, the ",,"Was your research plan reviewed by an ethics committee, the "
dmp.steps.ethical.question.committeeReviewed.researchCommittee.text,dmp.steps.legal.question.committeeReviewed.researchCommittee.text,Ethics Committee of your institution,,Ethics Committee of your institution
dmp.steps.ethical.question.committeeReviewed.researchCommittee.link,COULD_NOT_BE_AUTO_REPLACE,https://www.tuwien.at/forschung/fti-support/responsible-research-practices/research-ethics-committee,dmp.steps.legal.question.committeeReviewed.researchCommittee.link,https://www.tuwien.at/forschung/fti-support/responsible-research-practices/research-ethics-committee(2)
dmp.steps.ethical.question.committeeReviewed.suffix,dmp.steps.legal.question.committeeReviewed.suffix,", or a similar body?",,", or a similar body?"
dmp.steps.ethical.question.ethicalIssueReport,dmp.steps.legal.question.ethicalIssueReport,Please provide the ethical issue report.,,Please provide the ethical issue report.
dmp.steps.licensing.label,dmp.steps.licensing.label,Data access and licensing,,Data access and licensing
dmp.steps.licensing.rightLabel,dmp.steps.licensing.sectionTitle,Access control and licensing overview,,Access control and licensing overview
dmp.steps.licensing.greeting,MISSING_IN_NEW_JSON,"Advancing to Step 7, Firstname",,
dmp.steps.licensing.summaryLine,MISSING_IN_NEW_JSON,Elaborate on future access to your data. ,,
dmp.steps.licensing.instructions,dmp.steps.licensing.instructions,"This step helps you to specify the access to your research output in the future: Which of your datasets will be published, which will be provided to interested persons on request only, and which need to be under lock and key, for contractual, regulatory, or ethical reasons? It also reminds you to choose a license for your open data that clearly describes the reuse conditions for potential users. To comply with the FAIR principles, metadata should be published, even if the data is closed or restricted.",,"This step helps you to specify the access to your research output in the future: Which of your datasets will be published, which will be provided to interested persons on request only, and which need to be under lock and key, for contractual, regulatory, or ethical reasons? It also reminds you to choose a license for your open data that clearly describes the reuse conditions for potential users. To comply with the FAIR principles, metadata should be published, even if the data is closed or restricted."
dmp.steps.licensing.intro,MISSING_IN_NEW_JSON,"This step helps you to specify the access to your research output in the future: Which of your data sets will be published, which will be provided to interested persons on request only and which need to be under lock and key, for contractual, regulatory, or ethical reasons? It also reminds you to choose a license for your open data that clearly describes the reuse conditions for potential reusers. To comply with the FAIR principles, metadata should be published, even if the data are closed or restricted.",,
dmp.steps.licensing.hint,MISSING_IN_NEW_JSON,Please indicate which datasets you plan to keep closed or publish. Select a license for the datasets you want to publish and estimate the release date.,,
dmp.steps.licensing.info,dmp.steps.licensing.info,Choose a license from the list or use the license selector to find an appropriate license.,,Choose a license from the list or use the license selector to find an appropriate license.
dmp.steps.licensing.question.dataAccess,dmp.steps.licensing.question.dataAccess,Data Access,,Data Access
dmp.steps.licensing.question.license.reused,dmp.steps.licensing.question.license.reused,Planned license,,Planned license
dmp.steps.licensing.question.license.existing,dmp.steps.licensing.question.license.existing,License,,License(3)
dmp.steps.licensing.question.startDate,dmp.steps.licensing.question.startDate,Estimated publication date,,Estimated publication date
dmp.steps.licensing.question.hint,MISSING_IN_NEW_JSON,The release date was set to the project end date. Feel free to modify it.,,
dmp.steps.licensing.question.restrictedAccessInfo,dmp.steps.licensing.question.long.restrictedAccessInfo,"The following dataset(s) will have access restrictions, explain why and clearly describe the access conditions:",,"The following dataset(s) will have access restrictions, explain why and clearly describe the access conditions:"
dmp.steps.licensing.question.closedAccessInfo,dmp.steps.licensing.question.long.closedAccessInfo,Explain why the data will not be accessible (closed access):,,Explain why the data will not be accessible (closed access):
dmp.steps.licensing.warning.personalData,dmp.steps.licensing.warning.personalData,"You indicated in step 6 that this dataset contains sensitive personal data. Do you really want to publish the dataset open, without restrictions?",,"You indicated in step 6 that this dataset contains sensitive personal data. Do you really want to publish the dataset open, without restrictions?"
dmp.steps.licensing.warning.pseudonymisation,dmp.steps.licensing.warning.pseudonymisation,Have you considered anonymisation/pseudonymisation?,,Have you considered anonymisation/pseudonymisation?
dmp.steps.licensing.warning.legalRestrictions,dmp.steps.licensing.warning.legalRestrictions,You indicated in step 6 that this dataset is subject to legal restrictions. Do you really want to publish the dataset without restrictions?,,You indicated in step 6 that this dataset is subject to legal restrictions. Do you really want to publish the dataset without restrictions?
dmp.steps.retentionPeriod.title,dmp.steps.retentionPeriod.title,Set retention period for datasets,,Set retention period for datasets
dmp.steps.retentionPeriod.question.retentionPeriod,dmp.steps.retentionPeriod.question.retentionPeriod,Retention Period,,Retention Period
dmp.steps.retentionPeriod.years,dmp.steps.retentionPeriod.years,Years,,Years
dmp.steps.repositories.label,dmp.steps.repositories.label,Repositories and preservation,,Repositories and preservation
dmp.steps.repositories.greeting,MISSING_IN_NEW_JSON,"Step 8, Firstname",,
dmp.steps.repositories.summaryLine,MISSING_IN_NEW_JSON,Choose suitable repositories for your data.,,
dmp.steps.repositories.instructions,dmp.steps.repositories.instructions,"Repositories are used for sustainable data management beyond the lifetime of the project and to make data discoverable and reusable to others. If available, use a domain specific repository for your data. The search filter below may help you to find one.",,"Repositories are used for sustainable data management beyond the lifetime of the project and to make data discoverable and reusable to others. If available, use a domain specific repository for your data. The search filter below may help you to find one."
dmp.steps.repositories.intro,MISSING_IN_NEW_JSON,"Use repositories to sustainably manage your data after the project’s life and to make your data discoverable and reusable. If possible, use a domain specific repository for your data. The search filter below can help you to find one. You’ll also want to set the time for how long your data should remain in the repository. This retention period can be selected in the Set retention period for datasets section",,
dmp.steps.repositories.heading,dmp.steps.repositories.heading,Repositories,,Repositories(2)
dmp.steps.repositories.search,MISSING_IN_NEW_JSON,Search repository,,
dmp.steps.repositories.add,dmp.steps.repositories.add,Add repository,,Add repository
dmp.steps.repositories.use,dmp.steps.repositories.use,Use repository,,Use repository
dmp.steps.repositories.remove,MISSING_IN_NEW_JSON,Remove repository,,
dmp.steps.repositories.selected,dmp.steps.repositories.selected,You selected:,,You selected:
dmp.steps.repositories.question.datasets,dmp.steps.repositories.question.datasets,Dataset(s) for deposit,,Dataset(s) for deposit
dmp.steps.repositories.question.date,MISSING_IN_NEW_JSON,Available until,,
dmp.steps.repositories.warning.deletion,dmp.steps.repositories.warning.deletion,The following datasets were marked for deletion: {{value}}. Are you sure they shall be preserved in a repository?,,The following datasets were marked for deletion: {{value}}. Are you sure they shall be preserved in a repository?
dmp.steps.repositories.loading.load.all,dmp.steps.repositories.loading.load.all,Load repositories...,,Load repositories...
dmp.steps.repositories.loading.load.recommended,dmp.steps.repositories.loading.load.recommended,Load recommended repositories...,,Load recommended repositories...
dmp.steps.repositories.loading.failed.all,dmp.steps.repositories.loading.failed.all,Recommended repositories could not be loaded.,,Recommended repositories could not be loaded.(2)
dmp.steps.repositories.loading.failed.recommended,dmp.steps.repositories.loading.failed.recommended,Recommended repositories could not be loaded.,,Recommended repositories could not be loaded.(2)
dmp.steps.repositories.filter,dmp.steps.repositories.filter,Filter repositories,,Filter repositories
dmp.steps.repositories.filter.search,MISSING_IN_NEW_JSON,Search Filter,,
dmp.steps.repositories.filter.find,dmp.steps.repositories.filter.find,Find repositories,,Find repositories
dmp.steps.repositories.filter.reset,dmp.steps.repositories.filter.reset,Reset filter,,Reset filter
dmp.steps.repositories.filters,dmp.steps.repositories.filters,Filters,,Filters
dmp.steps.repositories.table.header.title,dmp.steps.repositories.table.header.title,Title,,Title(5)
dmp.steps.repositories.nodatafilter,dmp.steps.repositories.nodatafilter,"No data matching the filter ""{{value}}""",,"No data matching the filter ""{{value}}""(2)"
dmp.steps.repositories.norepositories,dmp.steps.repositories.norepositories,No repositories found.,,No repositories found.
dmp.steps.repositories.recommended,dmp.steps.repositories.recommended,Recommended,,Recommended
dmp.steps.repositories.recommended.none,dmp.steps.repositories.recommended.none,No further recommended repositories.,,No further recommended repositories.
dmp.steps.repositories.find,dmp.steps.repositories.find,Find repository,,Find repository
dmp.steps.repositories.find.other,dmp.steps.repositories.find.other,Find other repository,,Find other repository
dmp.steps.costs.label,dmp.steps.costs.label,Costs,,Costs(2)
dmp.steps.costs.rightLabel,dmp.steps.costs.sectionTitle,Data management costs,,Data management costs
dmp.steps.costs.addButton,dmp.steps.costs.addButton,Add cost,,Add cost
dmp.steps.costs.greeting,MISSING_IN_NEW_JSON,"Step 10, you’re almost there, Firstname!",,
dmp.steps.costs.summaryLine,MISSING_IN_NEW_JSON,Estimate the costs for data management in this project. ,,
dmp.steps.costs.instructions,dmp.steps.costs.instruction,"In this step, you will provide information on the resources required to manage your data and a clear statement on how these costs will be covered.",,"In this step, you will provide information on the resources required to manage your data and a clear statement on how these costs will be covered."
dmp.steps.costs.infoBox.description,dmp.steps.costs.infoBox.description,Researchers are encouraged to consider costs arising from data management activities. Data management costs are eligible for many funders and are thus relevant for the proposals. Please follow this,,Researchers are encouraged to consider costs arising from data management activities. Data management costs are eligible for many funders and are thus relevant for the proposals. Please follow this
dmp.steps.costs.intro,MISSING_IN_NEW_JSON,In this step you are asked to provide a realistic estimation of necessary resources for data management and a clear statement on how these costs will be covered.,,
dmp.steps.costs.question.exist.label,dmp.steps.costs.question.exist.label,Select the statement which best describes the situation in your project with respect to costs of data management.,,Select the statement which best describes the situation in your project with respect to costs of data management.
dmp.steps.costs.question.exist.no,dmp.steps.costs.question.exist.no,There are no costs dedicated to data management.,,There are no costs dedicated to data management.
dmp.steps.costs.question.exist.yes,dmp.steps.costs.question.exist.yes,"As outlined below, there are costs dedicated to data management.",,"As outlined below, there are costs dedicated to data management."
dmp.steps.costs.question.title,COULD_NOT_BE_AUTO_REPLACE,Name,dmp.steps.costs.question.name,Name(3)
dmp.steps.costs.question.value,dmp.steps.costs.question.value,Estimated cost,,Estimated cost
dmp.steps.costs.question.type,dmp.steps.costs.question.type,Cost Type,,Cost Type
dmp.steps.costs.question.other,dmp.steps.costs.question.specifyType,Please specify the cost type,,Please specify the cost type
dmp.steps.costs.question.description,dmp.steps.costs.question.description,Description (optional),,Description (optional)
dmp.steps.end.label,dmp.steps.end.label,Summary,,Summary
dmp.steps.end.greeting,MISSING_IN_NEW_JSON,"Finally, let’s review your work, Firstname",,
dmp.steps.end.summaryLine,MISSING_IN_NEW_JSON,Check if you covered everything.,,
dmp.steps.end.instructions,dmp.steps.end.instructions,"Below is a summary of the information you provided. To add more information, go to the previous step(s).",,"Below is a summary of the information you provided. To add more information, go to the previous step(s)."
dmp.steps.summary.title,dmp.steps.summary.title,Summary of the information you provided:,,Summary of the information you provided:
dmp.steps.summary.table.header.step,dmp.steps.summary.table.header.step,Step,,Step
dmp.steps.summary.table.header.completeness,dmp.steps.summary.table.header.completeness,Completeness,,Completeness
dmp.steps.summary.table.header.status,dmp.steps.summary.table.header.status,Status,,Status
dmp.steps.summary.nodatasets,dmp.steps.summary.nodatasets,No datasets defined,,No datasets defined
dmp.steps.summary.notspecified,dmp.steps.summary.notspecified,Not specified yet.,,Not specified yet.
dmp.steps.summary.partially,dmp.steps.summary.partially,Partially filled out.,,Partially filled out.
dmp.steps.summary.noinfo,dmp.steps.summary.noinfo,No information provided.,,No information provided.
dmp.steps.summary.someinfo,MISSING_IN_NEW_JSON,Some information provided.,,
dmp.steps.summary.allinfo,dmp.steps.summary.allinfo,All information necessary provided.,,All information necessary provided.(3)
dmp.steps.summary.project.none,dmp.steps.summary.project.none,No project selected yet.,,No project selected yet.
dmp.steps.summary.project.selected,MISSING_IN_NEW_JSON,Project: {{project}}.,,
dmp.steps.summary.people.contact.set,dmp.steps.summary.people.contact.set,Contact person set. ,,Contact person set. 
dmp.steps.summary.people.contact.missing,dmp.steps.summary.people.contact.missing,Contact person is missing. ,,Contact person is missing. 
dmp.steps.summary.people.contributor.none,dmp.steps.summary.people.contributor.none,No contributors selected yet.,,No contributors selected yet.
dmp.steps.summary.people.contributor.one,dmp.steps.summary.people.contributor.one,One contributor selected.,,One contributor selected.
dmp.steps.summary.people.contributor.multiple,dmp.steps.summary.people.contributor.multiple,Contributors selected: ,,Contributors selected: 
dmp.steps.summary.people.contributor.additional,dmp.steps.summary.people.contributor.additional,Additional contributors:,,Additional contributors:
dmp.steps.summary.data.specify.datasets.produced,dmp.steps.summary.data.specify.datasets.produced,Produced datasets: ,,Produced datasets: 
dmp.steps.summary.data.specify.datasets.reused,MISSING_IN_NEW_JSON,Reused datasets: ,,
dmp.steps.summary.data.specify.datasets.unknown.produced,dmp.steps.summary.data.specify.datasets.unknown.produced,Not yet known if data will be produced.,,Not yet known if data will be produced.
dmp.steps.summary.data.specify.datasets.unknown.reused,MISSING_IN_NEW_JSON,Not yet known if data will be reused.,,
dmp.steps.summary.data.specify.datasets.none.produced,dmp.steps.summary.data.specify.datasets.none.produced,No data will be produced.,,No data will be produced.
dmp.steps.summary.data.specify.datasets.none.reused,dmp.steps.summary.data.specify.datasets.none.reused,No data will be reused.,,No data will be reused.
dmp.steps.summary.data.specify.datasets.none.none,MISSING_IN_NEW_JSON,No research data specified.,,
dmp.steps.summary.data.specify.datasets.missingexplanation,dmp.steps.summary.data.specify.datasets.missingexplanation,Explanation is missing.,,Explanation is missing.
dmp.steps.summary.data.specify.datasets.datageneration,dmp.steps.summary.data.specify.datasets.datageneration,Data generation/reuse info missing.,,Data generation/reuse info missing.
dmp.steps.summary.storage.allinfo,dmp.steps.summary.storage.allinfo,All information necessary provided.,,All information necessary provided.(3)
dmp.steps.summary.storage.nonestored,dmp.steps.summary.storage.nonestored,"No datasets will be stored, as no produced or reused datasets have been specified.",,"No datasets will be stored, as no produced or reused datasets have been specified."
dmp.steps.summary.storage.missingstorage,dmp.steps.summary.storage.missingstorage,Some datasets do not have storages assigned.,,Some datasets do not have storages assigned.
dmp.steps.summary.storage.missingexplanation,dmp.steps.summary.storage.missingexplanation, Explanation for using external storage is missing.,, Explanation for using external storage is missing.
dmp.steps.summary.licensing.complete,dmp.steps.summary.licensing.complete,All information necessary provided.,,All information necessary provided.(3)
dmp.steps.summary.licensing.incomplete,dmp.steps.summary.licensing.incomplete,Some information is missing.,,Some information is missing.
dmp.steps.summary.licensing.noproduceddata,dmp.steps.summary.licensing.noproduceddata,No produced dataset has been specified.,,No produced dataset has been specified.(2)
dmp.steps.summary.repositories.nodata,MISSING_IN_NEW_JSON,No data to be deposited.,,
dmp.steps.summary.repositories.noproduceddata,dmp.steps.summary.repositories.noproduceddata,No produced dataset has been specified.,,No produced dataset has been specified.(2)
dmp.steps.summary.repositories.deposited.incomplete,dmp.steps.summary.repositories.deposited.incomplete,Not all data deposited yet.,,Not all data deposited yet.
dmp.steps.summary.repositories.deposited.complete,dmp.steps.summary.repositories.deposited.complete,All data are deposited.,,All data are deposited.
dmp.steps.summary.repositories.missingexplanation,MISSING_IN_NEW_JSON,Explanation for datasets with restricted/closed access missing.,,
dmp.steps.summary.costs.none,dmp.steps.summary.costs.none,There are no costs.,,There are no costs.
dmp.nodatasets,MISSING_IN_NEW_JSON,Please declare any new or existing dataset first.,,
dmp.nonewdataset,MISSING_IN_NEW_JSON,Please declare a produced (i.e. new) dataset first.,,
dmp.dialog.title,COULD_NOT_BE_AUTO_REPLACE,Save new version,version-save.dialog.title,Save new version
dmp.dialog.description,version-save.dialog.message,Please enter a version name,,Please enter a version name
dmp.dialog.label,version-save.dialog.field.versionName.label,Version name,,Version name
dmp.dialog.button.cancel,COULD_NOT_BE_AUTO_REPLACE,Cancel,delete.dialog.button.cancel,Cancel(11)
dmp.dialog.button.save,COULD_NOT_BE_AUTO_REPLACE,Save,version-save.dialog.button.save,Save(3)
button.actions,COULD_NOT_BE_AUTO_REPLACE,Actions,admin.internalStorage.table.header.actions,Actions(2)
button.save,actions-bar.buttons.save,Save changes,,Save changes
button.discard,actions-bar.buttons.discard,Discard changes,,Discard changes
button.version,COULD_NOT_BE_AUTO_REPLACE,Save new version,version-save.dialog.title,Save new version
button.export,actions-bar.buttons.export,Export document,,Export document
button.preview.tooltipDisabled,actions-bar.buttons.preview.hintWhenDisabled,Please save the DMP before being able to preview it.,,Please save the DMP before being able to preview it.
button.preview.content,actions-bar.buttons.preview.label,Show preview,,Show preview
form.error.required,validation.error.required,Please provide a value.,,Please provide a value.
form.error.empty,validation.error.invalidValue,Please provide a valid value.,,Please provide a valid value.
form.error.maxlength,validation.error.maxLength,Value must not exceed {{value}} characters.,,Value must not exceed {{value}} characters.
form.error.pattern.currency,validation.error.currencyFormat,"Invalid input, please use the following format: 1234.56",,"Invalid input, please use the following format: 1234.56"
form.error.orcid,validation.error.orcid,Invalid ORCID iD.,,Invalid ORCID iD.
form.error.url,validation.error.url,Invalid URL. Must be formatted as https://example.com,,Invalid URL. Must be formatted as https://example.com
form.error.uri,validation.error.uri,Invalid URI,,Invalid URI
form.error.doi,validation.error.doi,Invalid DOI. Must be formatted as 10.1234/56789 or https://doi.org/10.1234/56789 or doi:10.1234/56789,,Invalid DOI. Must be formatted as 10.1234/56789 or https://doi.org/10.1234/56789 or doi:10.1234/56789
form.error.duplicateDoi,validation.error.doiDuplicate,DOI already added.,,DOI already added.
form.changes.saved,actions-bar.status.saved,All changes have been saved.,,All changes have been saved.
form.changes.unsaved,actions-bar.status.unsaved,You have unsaved changes.,,You have unsaved changes.
upload.file.choose,file-upload.button.choose,Choose File,,Choose File
upload.file.dragdrop,file-upload.dropzone.hint,Drag and drop files here,,Drag and drop files here
license.wizard.legalWarning,license-wizard.legalWarning,This is not legal advice. Please choose your license carefully.,,This is not legal advice. Please choose your license carefully.
license.wizard.select,license-wizard.select,Select license with license selector,,Select license with license selector
license.wizard.title,license-wizard.title,Choose a License,,Choose a License
license.wizard.info,license-wizard.info,More info,,More info
license.wizard.none.found,license-wizard.none.found,No license found,,No license found
license.wizard.question.root,license-wizard.question.root,What do you want to deposit?,,What do you want to deposit?
license.wizard.question.data,license-wizard.question.data,Is your data within the scope of copyright and related rights?,,Is your data within the scope of copyright and related rights?
license.wizard.question.ownIPR,MISSING_IN_NEW_JSON,Do you own copyright and similar rights in your dataset and all its constitutive parts?,,
license.wizard.question.ensureLicensing,license-wizard.question.ensureLicensing,Are all the elements of your dataset licensed under a public license or in the Public Domain?,,Are all the elements of your dataset licensed under a public license or in the Public Domain?
license.wizard.question.cantLicense,license-wizard.question.cantLicense,You need additional permission before you can deposit the data!,,You need additional permission before you can deposit the data!
license.wizard.question.licenseInteropData,license-wizard.question.licenseInteropData,Choose licenses present in your dataset:,,Choose licenses present in your dataset:
license.wizard.question.allowDerivativeWorks,license-wizard.question.allowDerivativeWorks,Do you allow others to make derivative works?,,Do you allow others to make derivative works?
license.wizard.question.shareAlike,license-wizard.question.shareAlike,Do you require others to share derivative works based on your data under a compatible license?,,Do you require others to share derivative works based on your data under a compatible license?
license.wizard.question.commercialUse,license-wizard.question.commercialUse,Do you allow others to make commercial use of you data?,,Do you allow others to make commercial use of you data?
license.wizard.question.decideAttributes,license-wizard.question.decideAttributes,Do you want others to attribute your data to you?,,Do you want others to attribute your data to you?
license.wizard.question.software,license-wizard.question.software,Is your code based on existing software or is it your original work?,,Is your code based on existing software or is it your original work?
license.wizard.question.licenseInteropSoftware,license-wizard.question.licenseInteropSoftware,Select licenses in your code:,,Select licenses in your code:
license.wizard.question.copyleft,license-wizard.question.copyleft,Do you require others who modify your code to release it under a compatible licence?,,Do you require others who modify your code to release it under a compatible licence?
license.wizard.question.strongCopyleft,license-wizard.question.strongCopyleft,Is your code used directly as an executable or are you licensing a library (your code will be linked)?,,Is your code used directly as an executable or are you licensing a library (your code will be linked)?
license.wizard.answer.data,COULD_NOT_BE_AUTO_REPLACE,Data,license-wizard.answer.data,Data
license.wizard.answer.software,license-wizard.answer.software,Software,,Software
license.wizard.answer.next,license-wizard.answer.next,Next,,Next
license.wizard.answer.licenseInteropSoftware,license-wizard.answer.licenseInteropSoftware,Based on existing software,,Based on existing software
license.wizard.answer.copyleft,license-wizard.answer.copyleft,My own code,,My own code
license.wizard.answer.executable,license-wizard.answer.executable,Executable,,Executable
license.wizard.answer.library,license-wizard.answer.library,Library,,Library
license.wizard.license.nolicense.name,license-wizard.license.nolicense.name,No License,,No License
license.wizard.license.nolicense.description,license-wizard.license.nolicense.description,This should be selected when no license is granted.,,This should be selected when no license is granted.
license.wizard.license.custom.name,license-wizard.license.custom.name,Custom License,,Custom License
license.wizard.license.custom.description,license-wizard.license.custom.description,This should be selected when a custom license is granted.,,This should be selected when a custom license is granted.
license.wizard.license.agpl1.name,license-wizard.license.agpl1.name,Affero General Public License v1.0 only,,Affero General Public License v1.0 only
license.wizard.license.agpl1.description,license-wizard.license.agpl1.description,"The GNU Affero General Public License is a free, copyleft license for software and other kinds of works, specifically designed to ensure cooperation with the community in the case of network server software.",,"The GNU Affero General Public License is a free, copyleft license for software and other kinds of works, specifically designed to ensure cooperation with the community in the case of network server software."
license.wizard.license.agpl1plus.name,license-wizard.license.agpl1plus.name,Affero General Public License v1.0 or later,,Affero General Public License v1.0 or later
license.wizard.license.agpl1plus.description,license-wizard.license.agpl1plus.description,"The GNU Affero General Public License is a free, copyleft license for software and other kinds of works, specifically designed to ensure cooperation with the community in the case of network server software. Allows content under this ""any later version"" grant to be redistributed under the GPL-3.0-or-later.",,"The GNU Affero General Public License is a free, copyleft license for software and other kinds of works, specifically designed to ensure cooperation with the community in the case of network server software. Allows content under this ""any later version"" grant to be redistributed under the GPL-3.0-or-later."
license.wizard.license.agpl3.name,COULD_NOT_BE_AUTO_REPLACE,GNU Affero General Public License v3.0 or later,license-wizard.license.agpl3.name,GNU Affero General Public License v3.0 or later(2)
